Column1,Player,2020/21
552,Anthony Lamb,215330
553,Justin Robinson,198040
554,Axel Toupane,196872
555,Henry Ellenson,168983
556,Ashton Hagans,166111
557,Isaiah Thomas,159698
558,John Henson,158907
559,Armoni Brooks,135362
560,Jordan Bone,135350
561,Jaylen Hoard,129209
562,Justin Anderson,125000
563,Amida Brimah,123056
563,Didi Louzada,123056
565,Troy Williams,122741
566,James Nunnally,107674
567,Demetrius Jackson,92857
568,Dakota Mathias,86132
569,Malik Fitts,61528
570,Jeremiah Martin,58452
571,Jerian Grant,50000
572,Louis King,49222
573,Cameron Oliver,43070
574,Cam Reynolds,33299
575,Tyler Hall,25000
575,Andrew White,25000
577,Elijah Bryant,24611
578,Caleb Homesley,20000
